LOCATION,Country,TIME,GDP (PPP),Basic research,Applied research,Experimental development,Medical and health sciences
MYS,Malaysia,2012,8.1743079E11,2527427.34977,3702932.2091099997,1102985.05839,235421.593
MYS,Malaysia,2014,8.1743079E11,1646719.6588700002,7347712.96002,734165.5029300001,569884.16913
MYS,Malaysia,2015,8.1743079E11,2226954.9007099997,7497663.965689999,913000.50526,852212.4537899999
NAM,Namibia,2014,2.55997563E10,15826.723419999998,39592.00217,21618.539940000002,1579.11014
NGA,Nigeria,2007,1.09392056E12,497732.83397,521447.24782,358693.62745,142133.56423
NLD,Netherlands,2011,8.4000008E11,4347561.493419999,5894062.06455,4392764.9166,2543521.13771
NLD,Netherlands,2012,8.4000008E11,4218987.443109999,6578064.50204,4380646.47602,2502939.07871
NLD,Netherlands,2013,8.4000008E11,4519553.07263,7335238.1669,4128786.3112800005,2643768.53576
NLD,Netherlands,2014,8.4000008E11,4541931.36202,7648331.09348,4365734.41495,2778063.94615
OMN,Oman,2011,1.79491832E11,45469.28473,74877.84951,12898.452309999999,8200.73125
OMN,Oman,2012,1.79491832E11,156608.62107999998,91357.6493,33578.08337,3366.72675
OMN,Oman,2013,1.79491832E11,125256.17255,47089.43802,42504.921330000005,10828.08136
OMN,Oman,2014,1.79491832E11,124054.52333,207528.18228,25817.59551,9183.15914
OMN,Oman,2015,1.79491832E11,277252.92345999996,125256.93385999999,39884.13959,11256.51222
POL,Poland,2007,1.02040122E12,1053780.90967,665514.6521,1066385.5578700001,353497.89761
POL,Poland,2008,1.02040122E12,1240715.80134,726831.36807,1278441.55196,391859.27155
POL,Poland,2009,1.02040122E12,1489610.38405,733690.2956,1656521.3106,510642.44636999996
POL,Poland,2010,1.02040122E12,1705212.83659,882221.02321,1710597.31021,595900.25068
POL,Poland,2011,1.02040122E12,1722914.76077,1133880.75212,1871352.88527,733641.83002
POL,Poland,2012,1.02040122E12,2059272.85198,1178620.26269,2373163.31212,1034090.35235
POL,Poland,2013,1.02040122E12,2864433.1885,1682919.1123,3645879.7820800003,864152.57891
POL,Poland,2014,1.02040122E12,3082752.13715,1815220.2782299998,4297391.96803,969516.56118
PRI,municipality of Puerto Rico,2013,,113131.25648,117734.98859000001,317404.93919,199845.65625
PRT,Portugal,2007,3.07818136E11,563288.95037,1087213.7546,1395267.22413,272308.30513
PRT,Portugal,2008,3.07818136E11,801307.24297,1412459.0504100001,1849871.41357,437654.44518999994
PRT,Portugal,2009,3.07818136E11,946793.6031700001,1535200.14045,1941525.15322,463224.59141999995
PRT,Portugal,2010,3.07818136E11,1002122.2888600001,1564025.59609,1867434.1206200002,500752.44787
PRT,Portugal,2011,3.07818136E11,835092.5960100001,1579810.39444,1704050.6642,524682.90741
PRT,Portugal,2012,3.07818136E11,803758.84955,1487312.4787299999,1541338.09494,496668.30746000004
PRT,Portugal,2013,3.07818136E11,881554.84668,1520309.39151,1471482.47239,475799.20423000003
PRT,Portugal,2014,3.07818136E11,897705.8315,1522660.1335200001,1447284.02399,492004.80283999996
PRY,Paraguay,2008,6.1069963E10,3505.62921,17147.024019999997,1257.51568,4845.54468
PRY,Paraguay,2011,6.1069963E10,4126.91751,16891.61676,5764.93389,4248.3673
PRY,Paraguay,2012,6.1069963E10,4976.6712,29794.16609,7111.60996,5204.33474
PRY,Paraguay,2014,6.1069963E10,6582.10451,43431.097310000005,10611.82,11427.64156
PRY,Paraguay,2015,6.1069963E10,10798.88362,57708.81725,10452.55906,17693.7242
QAT,Qatar,2012,3.16398109E11,349650.33161,645597.73679,293155.47943,343046.04203
ROU,Romania,2007,4.65564795E11,670562.48587,653232.22537,137566.19976,74654.82383
ROU,Romania,2008,4.65564795E11,941887.30728,809455.53411,151732.76875,231615.77777
ROU,Romania,2009,4.65564795E11,637593.1486600001,734199.9909699999,133935.95922000002,158342.89361
ROU,Romania,2010,4.65564795E11,674360.12201,786380.89622,111760.80475999998,134326.02339000002
ROU,Romania,2012,4.65564795E11,761185.28228,759819.19562,316259.29655,179574.52284000002
ROU,Romania,2013,4.65564795E11,611611.97011,622020.32097,302276.50536999997,189237.1913
ROU,Romania,2014,4.65564795E11,558769.31317,697435.88744,327531.73121999996,165374.29004000002
SGP,Singapore,2007,4.72591204E11,1200043.4344799998,1704291.95916,4000309.61639,1151896.78771
SGP,Singapore,2008,4.72591204E11,1365817.2361700002,2035552.19303,4634861.55068,1197889.97789
SGP,Singapore,2009,4.72591204E11,1345027.58614,2156067.58676,3129845.15615,1364620.30981
SGP,Singapore,2010,4.72591204E11,1488462.49048,2370836.10165,3351540.88773,1512034.05817
SGP,Singapore,2011,4.72591204E11,1592737.76192,2749685.24248,4012747.93698,1539904.50001
SGP,Singapore,2012,4.72591204E11,1607833.6942,2670826.14488,3937643.41954,1592363.3625100001
SGP,Singapore,2013,4.72591204E11,1795641.9236299999,2911425.4391099997,4073434.74914,1587278.26397
SGP,Singapore,2014,4.72591204E11,1980841.6285700002,3228941.3131,4858387.04513,1863394.38588
SLV,El Salvador,2007,5.2808577E10,9552.06793,23962.51524,2305.67157,4241.47882
SLV,El Salvador,2008,5.2808577E10,15332.359859999999,25394.221019999997,6069.05911,5910.16547
SLV,El Salvador,2009,5.2808577E10,12544.51852,12805.862659999999,3484.58848,4991.673
SLV,El Salvador,2010,5.2808577E10,9202.61961,15042.74359,3539.46908,4528.79985
SLV,El Salvador,2011,5.2808577E10,3675.8417600000002,7709.50883,1366.24207,1192.75102
SLV,El Salvador,2012,5.2808577E10,4986.201370000001,6298.35962,1508.98199,1638.48294
SLV,El Salvador,2013,5.2808577E10,6085.22767,19878.41038,1014.20461,2413.80697
SLV,El Salvador,2014,5.2808577E10,11484.21687,26903.298919999997,3472.96539,13585.95504
SRB,Serbia,2007,1.00129341E11,196616.23034,161206.79672,121569.76294000002,14189.375380000001
SRB,Serbia,2008,1.00129341E11,246441.69495,220500.46391,154820.56142,32434.519739999996
SRB,Serbia,2009,1.00129341E11,319057.60914,277863.70466,153940.40813,37157.6673
SRB,Serbia,2010,1.00129341E11,293204.50522,186547.66678,176816.78157999998,69179.0977
SRB,Serbia,2011,1.00129341E11,285213.63118,229404.263,164937.1178,86064.74515
SRB,Serbia,2012,1.00129341E11,296664.35127,359738.09598000004,199164.8792,105208.44758
SRB,Serbia,2013,1.00129341E11,311457.63281,227038.29159,178666.30942,89288.61095
SRB,Serbia,2014,1.00129341E11,302016.87644,273065.36776,182671.25349,73936.10842
SRB,Serbia,2015,1.00129341E11,314708.52872,322684.76681999996,229084.68995,48310.59579
SVK,Slovakia,2007,1.62341126E11,235685.23845,124936.20550999999,149067.20287,49720.9273
SVK,Slovakia,2008,1.62341126E11,257646.57723000002,161280.53886,169910.49997,47109.39099
SVK,Slovakia,2009,1.62341126E11,273675.50215,142349.16911,172392.02922,45330.34523
SVK,Slovakia,2010,1.62341126E11,384456.36796,196690.85736,249668.26763000002,58961.562939999996
SVK,Slovakia,2011,1.62341126E11,452069.18546000007,227864.1488,245093.37351,73642.34697
SVK,Slovakia,2012,1.62341126E11,549105.9218100001,272092.31341999996,338717.09391999996,98120.67182
SVK,Slovakia,2013,1.62341126E11,548879.10655,296655.66153000004,399423.24937,111465.72104
SVK,Slovakia,2014,1.62341126E11,625858.99615,394441.91155,367422.38985,138481.78389000002
SVN,Slovenia,2007,6.601334E10,101263.73722000001,514486.95626999997,177167.1818,201595.94945
SVN,Slovenia,2008,6.601334E10,116789.65712999999,676270.80937,180370.7543,32327.79363
SVN,Slovenia,2009,6.601334E10,141609.13193,662344.12882,214969.21743000002,33922.09815
SVN,Slovenia,2010,6.601334E10,154435.23056,759891.318,257211.9613,36229.42581
SVN,Slovenia,2011,6.601334E10,187537.8624,913034.2804899999,332530.41011999996,36835.10425
SVN,Slovenia,2012,6.601334E10,203430.16482,912609.4071600001,413816.57336,40331.71114
SVN,Slovenia,2013,6.601334E10,215632.49101,806155.21281,563305.04481,43882.25282
SVN,Slovenia,2014,6.601334E10,275302.89453,866005.04781,384055.35118,46350.44438
TGO,Togo,2010,1.06672036E10,7337.82315,9338.62234,2836.9547199999997,1172.28643
TGO,Togo,2012,1.06672036E10,9288.66578,5161.34724,5224.89591,2020.43895
THA,Thailand,2007,1.11045784E12,268596.95175,660491.7754800001,649812.353,203627.39268
THA,Thailand,2011,1.11045784E12,776466.72955,1122804.97336,1240537.42848,429532.36886000005
THA,Thailand,2014,1.11045784E12,1120143.90393,1473239.8178700001,1830810.4496,532979.56963
THA,Thailand,2015,1.11045784E12,1021136.4496299999,2478296.93247,2965357.2751700003,648620.62148
UGA,Uganda,2007,7.2248648E10,28299.958880000002,123838.00369000001,3413.66693,36372.101039999994
UGA,Uganda,2008,7.2248648E10,36083.13461,100061.54915,8781.14484,28662.8776
UGA,Uganda,2009,7.2248648E10,58219.67084,99440.24871,11218.67259,15798.982619999999
UGA,Uganda,2010,7.2248648E10,84334.32828999999,104467.06238999999,54229.99686,44091.19554
UKR,Ukraine,2007,3.40171981E11,777614.30111,576420.32932,1496052.77416,138187.03974
UKR,Ukraine,2008,3.40171981E11,790223.34751,622905.2690600001,1521397.16415,146071.23754
UKR,Ukraine,2009,3.40171981E11,699550.82173,507102.0685,1345965.80331,133663.86347
UKR,Ukraine,2010,3.40171981E11,708612.6271800001,517835.14398,1414861.06022,138327.85348
UKR,Ukraine,2011,3.40171981E11,640825.36811,528186.0895100001,1309931.97808,141714.68578
UKR,Ukraine,2013,3.40171981E11,722910.4108899999,552296.9094199999,1470603.71889,117886.21332000001
UKR,Ukraine,2014,3.40171981E11,584844.63487,443027.75238,1212443.7538100001,134522.50160999998
UKR,Ukraine,2015,3.40171981E11,422787.99421,336914.0162,1130969.0548399999,80993.40772
UZB,Uzbekistan,2014,1.90501454E11,74203.2077,137234.41056,94460.43212,25487.37833
UZB,Uzbekistan,2015,1.90501454E11,79346.75661,137236.87975999998,125739.8051,29603.099680000003
VNM,Vietnam,2013,5.534219E11,339503.35831,1166880.90808,174173.85612,36568.30813
ZAF,South Africa,2007,7.2590865E11,1002184.71216,1667430.99395,2202648.8005,684491.76651
ZAF,South Africa,2008,7.2590865E11,1039988.2157200001,1718890.9943099997,2398235.19405,769422.0543
ZAF,South Africa,2009,7.2590865E11,1119465.99388,1667564.14177,2026674.32718,805506.0889399999
ZAF,South Africa,2010,7.2590865E11,1060026.8145899998,1761972.8537599999,1606284.59999,756778.2353899999
ZAF,South Africa,2011,7.2590865E11,1139428.43922,1966567.75268,1546177.94069,800006.15978
ZAF,South Africa,2012,7.2590865E11,1221950.7860700001,2241809.50953,1372965.4210299999,832279.74353
ZAF,South Africa,2013,7.2590865E11,1178707.91249,2343515.88051,1434495.17014,901773.74729
