LOCATION,Country,GDP (PPP),TIME,Business enterprise,Government,Higher Education,Private non-profit,Rest of the world
PRY,Paraguay,6.11E+10,2014,167.27481,41505.00399,1758.73564,2511.74132,9947.4979
PRY,Paraguay,6.11E+10,2015,220.7494,57713.82578,1621.21118,3278.93216,8158.90685
PSE,State of Palestine,2.22E+10,2007,82.5744,1073.44267,908.2962,3468.04185,13872.16915
PSE,State of Palestine,2.22E+10,2008,422.47313,1146.71271,100.58829,2776.25111,8107.45784
PSE,State of Palestine,2.22E+10,2009,2796.6553,8175.75414,1124.61294,5896.77679,24009.58289
PSE,State of Palestine,2.22E+10,2010,567.99743,12972.70829,1398.60859,3016.858,31992.31517
PSE,State of Palestine,2.22E+10,2013,3589.89677,28044.97448,4362.18506,16307.55503,23096.2648
QAT,Qatar,3.16E+11,2012,311600.0747,401712.4848,471097.653,72137.67748,31180.5951
ROU,Romania,4.66E+11,2007,392664.8692,981166.85,20441.12985,723.52042,66363.87042
ROU,Romania,4.66E+11,2008,442716.187,1334022.5,50311.55976,510.77726,75531.1868
ROU,Romania,4.66E+11,2009,523279.7156,826952.6024,28776.7237,1149.3057,125570.7514
ROU,Romania,4.66E+11,2010,507438.8804,855407.0224,34100.30454,602.03453,174952.278
ROU,Romania,4.66E+11,2011,672517.4752,883306.4287,21067.86336,4085.05974,216933.962
ROU,Romania,4.66E+11,2012,632143.8147,917636.7417,17785.98794,4341.92996,265355.9398
ROU,Romania,4.66E+11,2013,476407.4737,803064.4334,17610.63304,699.166,238127.7135
ROU,Romania,4.66E+11,2014,521299.9335,768888.8493,22863.1135,1458.14783,269226.8877
ROU,Romania,4.66E+11,2015,797424.4143,891521.3058,36298.02964,1968.03956,411144.9896
RUS,Russia,3.69E+12,2007,7813483.922,1.66E+07,162819.3513,26987.58099,1916146.854
RUS,Russia,3.69E+12,2008,8625201.134,1.95E+07,139033.0346,53586.88355,1786657.124
RUS,Russia,3.69E+12,2009,9213775.776,2.30E+07,135256.0685,33653.52448,2240206.275
RUS,Russia,3.69E+12,2010,8441234.405,2.33E+07,154067.9088,43148.62552,1174035.909
RUS,Russia,3.69E+12,2011,9740676.179,2.36E+07,268915.8939,69741.142,1507329.94
RUS,Russia,3.69E+12,2012,1.03E+07,2.57E+07,319897.0956,47555.27224,1503237.377
RUS,Russia,3.69E+12,2013,1.03E+07,2.48E+07,381900.6991,43773.03651,1110782.309
RUS,Russia,3.69E+12,2014,1.08E+07,2.76E+07,426564.8916,64404.2811,986895.7772
RUS,Russia,3.69E+12,2015,1.07E+07,2.82E+07,481793.2343,69413.02972,1072650.163
SEN,Senegal,3.66E+10,2008,3775.7507,53339.30499,284.9064,251.03937,35770.35894
SEN,Senegal,3.66E+10,2010,6121.47662,71167.25649,49.61571,4825.93345,60582.26402
SLV,El Salvador,5.28E+10,2007,684.99883,19213.81425,15023.63611,345.53207,2813.43653
SLV,El Salvador,5.28E+10,2008,337.51537,24672.9712,22187.38798,66.47999,2234.3316
SLV,El Salvador,5.28E+10,2009,7695.49587,21489.15224,207.98637,41.1813,3743.75475
SLV,El Salvador,5.28E+10,2010,164.68363,20791.30839,6175.63615,4.11709,2470.25446
SLV,El Salvador,5.28E+10,2011,198.79184,3564.33762,7752.8816,23.45744,2757.24276
SLV,El Salvador,5.28E+10,2012,400.83738,1707.56726,10822.60938,382.7997,1332.7843
SLV,El Salvador,5.28E+10,2013,202.84092,12170.45533,10547.72795,811.36369,4665.34121
SLV,El Salvador,5.28E+10,2014,282.87536,14228.52052,20948.00093,384.86762,7278.79936
SRB,Serbia,1.00E+11,2007,48713.90139,304654.4561,91554.03157,2402.6095,32065.6251
SRB,Serbia,1.00E+11,2008,48306.68399,374012.5989,138841.8357,4453.52134,56151.01728
SRB,Serbia,1.00E+11,2009,62549.98211,472089.6374,156594.0284,5697.16544,53930.90858
SRB,Serbia,1.00E+11,2010,56599.55298,390016.19,186186.4541,286.57725,23480.17935
SRB,Serbia,1.00E+11,2011,62165.56618,431156.6517,148419.8567,569.15917,37243.77828
SRB,Serbia,1.00E+11,2012,49427.40607,439023.3708,288240.7017,513.68597,78607.19674
SRB,Serbia,1.00E+11,2013,54022.93132,426792.637,180142.8716,215.08275,55989.47486
SRB,Serbia,1.00E+11,2014,62054.84056,405246.9945,195991.3378,119.31366,94341.01114
SRB,Serbia,1.00E+11,2015,110741.1884,438690.619,208164.7088,118.86353,108760.1295
SVK,Slovakia,1.62E+11,2007,181432.4229,274822.1419,820.53687,425.59714,52187.94803
SVK,Slovakia,1.62E+11,2008,204229.388,308159.2021,1847.68249,2238.43105,72364.77309
SVK,Slovakia,1.62E+11,2009,206581.0759,297513.6475,3474.25189,5659.01062,75188.7146
SVK,Slovakia,1.62E+11,2010,291283.9689,411844.9907,3513.86891,2324.62083,121846.0482
SVK,Slovakia,1.62E+11,2011,313147.3301,460224.6809,17094.94537,3586.04838,130971.7283
SVK,Slovakia,1.62E+11,2012,437355.0666,482223.4819,20024.10107,3985.79306,216324.9046
SVK,Slovakia,1.62E+11,2013,500409.6356,484258.5799,34166.87047,2455.77566,223667.1558
SVK,Slovakia,1.62E+11,2014,447042.7322,574281.9248,30525.96676,7265.7189,328609.0272
SVK,Slovakia,1.62E+11,2015,479373.5416,610970.243,62323.98652,6065.69519,754378.5448
SVN,Slovenia,6.60E+10,2007,462018.9695,282324.947,2824.67527,98.22202,45652.64574
SVN,Slovenia,6.60E+10,2008,611392.7506,304677.1086,2841.63973,115.18029,54402.96376
SVN,Slovenia,6.60E+10,2009,590808.1957,363342.9143,2930.12225,314.88344,61526.36257
SVN,Slovenia,6.60E+10,2010,683895.5899,413175.3361,3326.42292,720.88202,70420.27893
SVN,Slovenia,6.60E+10,2011,877454.0443,451566.5817,3304.64606,155.45619,100621.8248
SVN,Slovenia,6.60E+10,2012,951906.169,438685.0211,6626.64203,1638.12041,131001.8408
SVN,Slovenia,6.60E+10,2013,1012050.031,425960.4594,5485.91733,328.8838,141267.4571
SVN,Slovenia,6.60E+10,2014,1043194.276,332288.7021,7835.59137,723.07447,141323.3634
SVN,Slovenia,6.60E+10,2015,1010477.925,290349.0816,4951.42707,112.96031,154149.7512
SWE,Sweden,4.69E+11,2007,7584374.435,2977047.326,94091.39786,271019.2417,1158022.001
SWE,Sweden,4.69E+11,2009,7581314.957,3436216.301,79799.77104,325372.0622,1309905.946
SWE,Sweden,4.69E+11,2011,7743292.038,3689489.489,124942.8711,398686.483,1477491.853
SWE,Sweden,4.69E+11,2013,8844440.388,4102368.405,143074.7402,445871.6476,973699.8592
THA,Thailand,1.11E+12,2007,692402.4153,578852.2504,213432.9038,13561.65678,25601.07476
THA,Thailand,1.11E+12,2009,792942.9931,725230.2664,340621.4494,6074.20765,19155.876
THA,Thailand,1.11E+12,2011,1709548.87,1006853.101,445211.707,15322.07831,82661.94151
THA,Thailand,1.11E+12,2014,2006463.463,1255199.023,881682.1243,20746.41891,81602.58103
THA,Thailand,1.11E+12,2015,4601965.361,1426555.108,383428.7368,9189.81779,107488.0473
TUR,Turkey,1.57E+12,2007,3461591.52,3363281.672,1658.71329,282459.8695,36354.4438
TUR,Turkey,1.57E+12,2008,3701540.979,2477116.005,1266353.016,285556.1616,102800.1273
TUR,Turkey,1.57E+12,2009,3667013.09,3039383.787,1816572.756,327260.4118,100830.1984
TUR,Turkey,1.57E+12,2010,4552473.473,3109439.619,1973330.271,369983.0287,83516.67253
TUR,Turkey,1.57E+12,2011,5290325.986,3376741.919,2406877.215,391436.9639,79253.67635
TUR,Turkey,1.57E+12,2012,5990810.467,3610932.328,2697036.64,433341.5698,75827.37171
TUR,Turkey,1.57E+12,2013,6767859.598,3676973.461,2829873.369,457651.4013,114970.444
TUR,Turkey,1.57E+12,2014,7801833.924,4027324.086,2824897.854,517713.461,165938.6287
TZA,Tanzania,1.39E+11,2010,276.59906,200592.5287,1157.48907,182.03996,146455.0885
UGA,Uganda,7.22E+10,2009,13904.06567,81173.53025,29658.17769,136.77102,44006.0475
UGA,Uganda,7.22E+10,2010,33232.16923,53311.74743,2519.91401,14699.72713,139267.8297
UKR,Ukraine,3.40E+11,2007,960011.3862,1659180.581,7624.59851,2319.49226,505610.9803
UKR,Ukraine,3.40E+11,2008,889574.6641,1814141.749,9002.60291,4569.4884,514075.9867
UKR,Ukraine,3.40E+11,2009,739674.5846,1421213.469,8837.35625,2295.37928,636422.4158
UKR,Ukraine,3.40E+11,2010,768182.5978,1368073.865,5625.45601,3266.8657,754516.7966
UKR,Ukraine,3.40E+11,2011,758377.7329,1284608.43,5891.21928,1160.58668,721571.4872
UKR,Ukraine,3.40E+11,2013,870696.8547,1427414.497,5492.42585,535.84642,646096.826
UKR,Ukraine,3.40E+11,2014,854030.8197,1063473.672,3906.02331,682.37757,480723.2304
UKR,Ukraine,3.40E+11,2015,846143.097,826792.6668,3540.13197,85.92553,381887.4404
URY,Uruguay,7.29E+10,2008,80051.79466,58000.42196,39291.74917,1836.68841,7972.90663
URY,Uruguay,7.29E+10,2009,82969.03761,70428.69264,52566.44244,1264.63914,3912.61874
URY,Uruguay,7.29E+10,2010,90831.89687,44196.64732,51258.93595,1690.12036,3223.30097
URY,Uruguay,7.29E+10,2011,17956.87723,65148.42652,95532.77671,164.23973,13796.13738
URY,Uruguay,7.29E+10,2012,31476.1813,69046.60623,90947.68578,1916.10998,16015.23359
URY,Uruguay,7.29E+10,2013,22339.4364,86773.98127,96217.87317,1180.79069,11742.79927
URY,Uruguay,7.29E+10,2014,10954.3912,68671.69072,141872.3359,642.6837,17688.7791
USA,United States of America,1.80E+13,2009,2.35E+08,1.33E+08,1.19E+07,1.49E+07,1.16E+07
USA,United States of America,1.80E+13,2010,2.33E+08,1.34E+08,1.21E+07,1.55E+07,1.53E+07
USA,United States of America,1.80E+13,2011,2.51E+08,1.34E+08,1.29E+07,1.53E+07,1.63E+07
USA,United States of America,1.80E+13,2012,2.59E+08,1.31E+08,1.41E+07,1.56E+07,1.77E+07
USA,United States of America,1.80E+13,2013,2.78E+08,1.27E+08,1.52E+07,1.66E+07,2.04E+07
USA,United States of America,1.80E+13,2014,2.96E+08,1.26E+08,1.61E+07,1.79E+07,2.41E+07
USA,United States of America,1.80E+13,2015,3.23E+08,1.21E+08,1.71E+07,1.88E+07,2.35E+07
ZAF,South Africa,7.26E+11,2007,2078755.388,2226344.305,4006.06413,43326.60514,519844.4406
ZAF,South Africa,7.26E+11,2008,2199382.689,2327818.84,5644.35732,37301.43472,586966.8376
ZAF,South Africa,7.26E+11,2009,2046235.429,2139387.042,2506.70259,42445.32968,583129.7301
ZAF,South Africa,7.26E+11,2010,1777156.72,1971883.299,2389.29391,142279.3037,534575.8698
ZAF,South Africa,7.26E+11,2011,1814666.332,2002941.076,6532.76151,130392.7635,697641.1992
ZAF,South Africa,7.26E+11,2012,1854363.409,2194730.535,37304.10127,118772.1202,631555.3487
ZAF,South Africa,7.26E+11,2013,2050618.385,2126180.777,35130.68555,104404.0188,640385.0973
